Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2
ite,r,,,ite,,,3,tei,,,tei,,,,,ate,,,,,0,,,,,hei,,,,,0,,
wowd,r,,,wowd,,,4,wwod,,,wwod,,,,,wowh,,,,,3,,,,,wwed,,,,,2,,
alpa,r,,,alpa,,,4,paal,,,paal,,,,,arpa,,,,,1,,,,,peal,,,,,1,,
cot,r,,,cot,,,3,oct,,,oct,,,,,cet,,,,,1,,,,,act,,,,,0,,
ert,r,,,ert,,,3,ter,,,ter,,,,,eyt,,,,,1,,,,,tor,,,,,1,,
alpa,r,,,alpa,,,4,lpaa,,,lpaa,,,,,ampa,,,,,1,,,,,ltaa,,,,,1,,
hita,r,,,hita,,,4,tiha,,,tiha,,,,,hiha,,,,,2,,,,,tihi,,,,,3,,
nis,r,,,nis,,,3,sni,,,sni,,,,,mis,,,,,0,,,,,sri,,,,,1,,
esit,r,,,esit,,,4,iest,,,iest,,,,,etit,,,,,1,,,,,iesp,,,,,3,,
alpa,r,,,alpa,,,4,aalp,,,aalp,,,,,alpo,,,,,3,,,,,aelp,,,,,1,,
alpa,r,,,alpa,,,4,pala,,,pala,,,,,alpe,,,,,3,,,,,pola,,,,,1,,
wowd,r,,,wowd,,,4,owwd,,,owwd,,,,,wowh,,,,,3,,,,,oywd,,,,,1,,
wowd,r,,,wowd,,,4,dwwo,,,dwwo,,,,,rowd,,,,,0,,,,,dlwo,,,,,1,,
heses,r,,,heses,,,5,esesh,,,esesh,,,,,hedes,,,,,2,,,,,esehh,,,,,3,,
esit,r,,,esit,,,4,site,,,site,,,,,asit,,,,,0,,,,,sita,,,,,3,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ate,,,,,0,,,,,teo,,,,,2,,
esit,r,,,esit,,,4,eist,,,eist,,,,,epit,,,,,1,,,,,eiht,,,,,2,,
esit,r,,,esit,,,4,seti,,,seti,,,,,ehit,,,,,1,,,,,seta,,,,,3,,
day,r,,,day,,,3,ayd,,,ayd,,,,,dey,,,,,1,,,,,eyd,,,,,0,,
esit,r,,,esit,,,4,tsie,,,tsie,,,,,esid,,,,,3,,,,,psie,,,,,0,,
day,r,,,day,,,3,ayd,,,ayd,,,,,dam,,,,,2,,,,,eyd,,,,,0,,
hita,r,,,hita,,,4,htai,,,htai,,,,,hite,,,,,3,,,,,htau,,,,,3,,
